date,close,band,btc_weight_after,action,trade_usd,cash_after,btc_after,value_after
2021-09-07 00:00:00+00:00,46863.73,0.03,0.89446,none,0.0,249.1621,0.04506152285188696,2360.9132
2021-09-14 00:00:00+00:00,47111.52,0.03,0.89496,none,0.0,249.1621,0.04506152285188696,2372.0789
2021-09-21 00:00:00+00:00,40734.38,0.03,0.88048,none,0.0,249.1621,0.04506152285188696,2084.7153
2021-09-28 00:00:00+00:00,41026.54,0.03,0.9,buy,84.3741,214.788,0.0471160389887062,2147.7961
2021-10-05 00:00:00+00:00,51471.99,0.03,0.91864,none,0.0,214.788,0.0471160389887062,2639.9443
2021-10-12 00:00:00+00:00,55996.93,0.03,0.92472,none,0.0,214.788,0.0471160389887062,2853.1416
2021-10-19 00:00:00+00:00,64280.59,0.03,0.90003,sell,-109.5554,324.2339,0.045411707475285445,3243.3253
2021-10-26 00:00:00+00:00,60328.81,0.03,0.89417,none,0.0,324.2339,0.045411707475285445,3063.8682
2021-11-02 00:00:00+00:00,63219.99,0.03,0.88468,none,0.0,374.2339,0.045411707475285445,3245.1616
2021-11-09 00:00:00+00:00,66947.66,0.03,0.8904,none,0.0,374.2339,0.045411707475285445,3414.4415
2021-11-16 00:00:00+00:00,60058.87,0.03,0.87934,none,0.0,374.2339,0.045411707475285445,3101.6098
2021-11-23 00:00:00+00:00,57541.27,0.03,0.87472,none,0.0,374.2339,0.045411707475285445,2987.2812
2021-11-30 00:00:00+00:00,56950.56,0.03,0.9,buy,123.1883,301.0456,0.04757261914331591,3010.3329
2021-12-07 00:00:00+00:00,50588.95,0.03,0.88882,none,0.0,301.0456,0.04757261914331591,2707.6945
2021-12-14 00:00:00+00:00,48343.28,0.03,0.88425,none,0.0,301.0456,0.04757261914331591,2600.8621
2021-12-21 00:00:00+00:00,48889.88,0.03,0.8854,none,0.0,301.0456,0.04757261914331591,2626.8653
2021-12-28 00:00:00+00:00,47543.74,0.03,0.88253,none,0.0,301.0456,0.04757261914331591,2562.8258
2022-01-04 00:00:00+00:00,45832.01,0.03,0.9,buy,97.9062,253.1394,0.04970667931471347,2531.2965
2022-01-11 00:00:00+00:00,42729.29,0.03,0.89351,none,0.0,253.1394,0.04970667931471347,2377.0706
2022-01-18 00:00:00+00:00,42352.12,0.03,0.89266,none,0.0,253.1394,0.04970667931471347,2358.3227
2022-01-25 00:00:00+00:00,36958.32,0.03,0.87889,none,0.0,253.1394,0.04970667931471347,2090.2148
2022-02-01 00:00:00+00:00,38694.59,0.03,0.9,buy,80.4875,222.6519,0.05178467129729931,2226.4385
2022-02-08 00:00:00+00:00,44042.99,0.03,0.91106,none,0.0,222.6519,0.05178467129729931,2503.4037
2022-02-15 00:00:00+00:00,44544.86,0.03,0.91197,none,0.0,222.6519,0.05178467129729931,2529.3928
2022-02-22 00:00:00+00:00,38230.33,0.03,0.8989,none,0.0,222.6519,0.05178467129729931,2202.397
2022-03-01 00:00:00+00:00,44421.2,0.03,0.89403,none,0.0,272.6519,0.05178467129729931,2572.9891
2022-03-08 00:00:00+00:00,38730.63,0.03,0.88033,none,0.0,272.6519,0.05178467129729931,2278.3048
2022-03-15 00:00:00+00:00,39280.33,0.03,0.8818,none,0.0,272.6519,0.05178467129729931,2306.7709
2022-03-22 00:00:00+00:00,42364.13,0.03,0.88946,none,0.0,272.6519,0.05178467129729931,2466.4644
2022-03-29 00:00:00+00:00,47434.8,0.03,0.8839,none,0.0,322.6519,0.05178467129729931,2779.0474
2022-04-05 00:00:00+00:00,45497.55,0.03,0.87955,none,0.0,322.6519,0.05178467129729931,2678.7276
2022-04-12 00:00:00+00:00,40074.94,0.03,0.9,buy,82.86,239.7919,0.05385022876786218,2397.8366
2022-04-19 00:00:00+00:00,41493.18,0.03,0.90308,none,0.0,239.7919,0.05385022876786218,2474.2092
2022-04-26 00:00:00+00:00,38112.65,0.03,0.89539,none,0.0,239.7919,0.05385022876786218,2292.1669
2022-05-03 00:00:00+00:00,37728.95,0.03,0.87517,none,0.0,289.7919,0.05385022876786218,2321.5045
2022-05-10 00:00:00+00:00,31017.1,0.03,0.9,buy,93.785,196.007,0.05687085857038481,1959.9761
2022-05-17 00:00:00+00:00,30444.93,0.03,0.89831,none,0.0,196.007,0.05687085857038481,1927.4363
2022-05-24 00:00:00+00:00,29654.58,0.03,0.89588,none,0.0,196.007,0.05687085857038481,1882.4884
2022-05-31 00:00:00+00:00,31801.04,0.03,0.88026,none,0.0,246.007,0.05687085857038481,2054.5594
2022-06-07 00:00:00+00:00,31125.33,0.03,0.87798,none,0.0,246.007,0.05687085857038481,2016.1312
2022-06-14 00:00:00+00:00,22136.41,0.03,0.89999,buy,95.5146,150.4924,0.06118136376842317,1504.8281
2022-06-21 00:00:00+00:00,20723.52,0.03,0.8939,none,0.0,150.4924,0.06118136376842317,1418.3856
2022-06-28 00:00:00+00:00,20281.29,0.03,0.9,buy,56.3594,144.1329,0.06395747264459868,1441.273
2022-07-05 00:00:00+00:00,20175.83,0.03,0.89953,none,0.0,144.1329,0.06395747264459868,1434.528
2022-07-12 00:00:00+00:00,19328.75,0.03,0.89558,none,0.0,144.1329,0.06395747264459868,1380.3509
2022-07-19 00:00:00+00:00,23396.62,0.03,0.91214,none,0.0,144.1329,0.06395747264459868,1640.5216
2022-07-26 00:00:00+00:00,21254.67,0.03,0.90414,none,0.0,144.1329,0.06395747264459868,1503.5279
2022-08-02 00:00:00+00:00,22987.79,0.03,0.88336,none,0.0,194.1329,0.06395747264459868,1664.3739
2022-08-09 00:00:00+00:00,23149.95,0.03,0.88408,none,0.0,194.1329,0.06395747264459868,1674.7452
2022-08-16 00:00:00+00:00,23854.74,0.03,0.88712,none,0.0,194.1329,0.06395747264459868,1719.8218
2022-08-23 00:00:00+00:00,21529.12,0.03,0.87643,none,0.0,194.1329,0.06395747264459868,1571.081
2022-08-30 00:00:00+00:00,19811.66,0.03,0.89999,buy,93.0093,151.1237,0.06864745124608584,1511.1436
2022-09-06 00:00:00+00:00,18790.61,0.03,0.89513,none,0.0,151.1237,0.06864745124608584,1441.0511
2022-09-13 00:00:00+00:00,20173.57,0.03,0.90161,none,0.0,151.1237,0.06864745124608584,1535.9878
2022-09-20 00:00:00+00:00,18875.0,0.03,0.89555,none,0.0,151.1237,0.06864745124608584,1446.8443
2022-09-27 00:00:00+00:00,19079.13,0.03,0.89655,none,0.0,151.1237,0.06864745124608584,1460.8573
2022-10-04 00:00:00+00:00,20337.82,0.03,0.87408,none,0.0,201.1237,0.06864745124608584,1597.2632
2022-10-11 00:00:00+00:00,19060.0,0.03,0.9,buy,50.1693,150.9544,0.07127699405784813,1509.4939
2022-10-18 00:00:00+00:00,19327.44,0.03,0.90124,none,0.0,150.9544,0.07127699405784813,1528.5562
2022-10-25 00:00:00+00:00,20080.07,0.03,0.90459,none,0.0,150.9544,0.07127699405784813,1582.2014
2022-11-01 00:00:00+00:00,20483.62,0.03,0.87901,none,0.0,200.9544,0.07127699405784813,1660.9653
2022-11-08 00:00:00+00:00,18547.23,0.03,0.9,buy,48.6599,152.2945,0.07389793677880857,1522.8966
2022-11-15 00:00:00+00:00,16900.57,0.03,0.89131,none,0.0,152.2945,0.07389793677880857,1401.2118
2022-11-22 00:00:00+00:00,16226.94,0.03,0.88731,none,0.0,152.2945,0.07389793677880857,1351.4319
2022-11-29 00:00:00+00:00,16442.53,0.03,0.9,buy,60.5582,141.7364,0.07757727363133844,1417.303
2022-12-06 00:00:00+00:00,17088.96,0.03,0.90341,none,0.0,141.7364,0.07757727363133844,1467.4513
2022-12-13 00:00:00+00:00,17774.7,0.03,0.90679,none,0.0,141.7364,0.07757727363133844,1520.6491
2022-12-20 00:00:00+00:00,16895.56,0.03,0.90242,none,0.0,141.7364,0.07757727363133844,1452.4478
2022-12-27 00:00:00+00:00,16706.36,0.03,0.90142,none,0.0,141.7364,0.07757727363133844,1437.7702
2023-01-03 00:00:00+00:00,16675.18,0.03,0.87092,none,0.0,191.7364,0.07757727363133844,1485.3514
2023-01-10 00:00:00+00:00,17440.66,0.03,0.87588,none,0.0,191.7364,0.07757727363133844,1544.7352
2023-01-17 00:00:00+00:00,21134.81,0.03,0.8953,none,0.0,191.7364,0.07757727363133844,1831.3173
2023-01-24 00:00:00+00:00,22632.89,0.03,0.90155,none,0.0,191.7364,0.07757727363133844,1947.5343
2023-01-31 00:00:00+00:00,23125.13,0.03,0.88125,none,0.0,241.7364,0.07757727363133844,2035.7209
2023-02-07 00:00:00+00:00,23240.46,0.03,0.88177,none,0.0,241.7364,0.07757727363133844,2044.6679
2023-02-14 00:00:00+00:00,22199.84,0.03,0.87691,none,0.0,241.7364,0.07757727363133844,1963.9394
2023-02-21 00:00:00+00:00,24452.16,0.03,0.88697,none,0.0,241.7364,0.07757727363133844,2138.6683
2023-02-28 00:00:00+00:00,23141.57,0.03,0.9,buy,83.0367,208.6996,0.08116189183882586,2086.9132
2023-03-07 00:00:00+00:00,22197.96,0.03,0.89619,none,0.0,208.6996,0.08116189183882586,2010.3281
2023-03-14 00:00:00+00:00,24670.41,0.03,0.90561,none,0.0,208.6996,0.08116189183882586,2210.9968
2023-03-21 00:00:00+00:00,28105.47,0.03,0.91618,none,0.0,208.6996,0.08116189183882586,2489.7927
2023-03-28 00:00:00+00:00,27261.07,0.03,0.91381,none,0.0,208.6996,0.08116189183882586,2421.2596
2023-04-04 00:00:00+00:00,28165.47,0.03,0.89834,none,0.0,258.6996,0.08116189183882586,2544.6625
2023-04-11 00:00:00+00:00,30200.42,0.03,0.90453,none,0.0,258.6996,0.08116189183882586,2709.8228
2023-04-18 00:00:00+00:00,30380.01,0.03,0.90504,none,0.0,258.6996,0.08116189183882586,2724.3987
2023-04-25 00:00:00+00:00,28300.79,0.03,0.89877,none,0.0,258.6996,0.08116189183882586,2555.6453
2023-05-02 00:00:00+00:00,28669.86,0.03,0.88287,none,0.0,308.6996,0.08116189183882586,2635.5997
2023-05-09 00:00:00+00:00,27628.27,0.03,0.87899,none,0.0,308.6996,0.08116189183882586,2551.0623
2023-05-16 00:00:00+00:00,27033.84,0.03,0.87666,none,0.0,308.6996,0.08116189183882586,2502.8172
2023-05-23 00:00:00+00:00,27219.61,0.03,0.8774,none,0.0,308.6996,0.08116189183882586,2517.8947
2023-05-30 00:00:00+00:00,27694.4,0.03,0.9,buy,98.0567,260.643,0.08469901910631904,2606.3315
2023-06-06 00:00:00+00:00,27230.08,0.03,0.89846,none,0.0,260.643,0.08469901910631904,2567.004
2023-06-13 00:00:00+00:00,25934.25,0.03,0.89393,none,0.0,260.643,0.08469901910631904,2457.2485
2023-06-20 00:00:00+00:00,28307.99,0.03,0.90195,none,0.0,260.643,0.08469901910631904,2658.3019
2023-06-27 00:00:00+00:00,30692.44,0.03,0.90887,none,0.0,260.643,0.08469901910631904,2860.2625
2023-07-04 00:00:00+00:00,30766.51,0.03,0.89349,none,0.0,310.643,0.08469901910631904,2916.5362
2023-07-11 00:00:00+00:00,30622.1,0.03,0.89304,none,0.0,310.643,0.08469901910631904,2904.3048
2023-07-18 00:00:00+00:00,29859.13,0.03,0.89061,none,0.0,310.643,0.08469901910631904,2839.682
2023-07-25 00:00:00+00:00,29228.91,0.03,0.88851,none,0.0,310.643,0.08469901910631904,2786.303
2023-08-01 00:00:00+00:00,29705.99,0.03,0.87463,none,0.0,360.643,0.08469901910631904,2876.7112
2023-08-08 00:00:00+00:00,29770.42,0.03,0.87487,none,0.0,360.643,0.08469901910631904,2882.1683
2023-08-15 00:00:00+00:00,29200.0,0.03,0.87274,none,0.0,360.643,0.08469901910631904,2833.8543
2023-08-22 00:00:00+00:00,26056.0,0.03,0.9,buy,103.8869,256.7561,0.0886820942546468,2567.4567
2023-08-29 00:00:00+00:00,27716.34,0.03,0.88905,none,0.0,306.7561,0.0886820942546468,2764.6991
2023-09-05 00:00:00+00:00,25792.1,0.03,0.88175,none,0.0,306.7561,0.0886820942546468,2594.0535
2023-09-12 00:00:00+00:00,25840.1,0.03,0.88194,none,0.0,306.7561,0.0886820942546468,2598.3102
2023-09-19 00:00:00+00:00,27210.26,0.03,0.88721,none,0.0,306.7561,0.0886820942546468,2719.8189
2023-09-26 00:00:00+00:00,26221.67,0.03,0.88346,none,0.0,306.7561,0.0886820942546468,2632.1487
2023-10-03 00:00:00+00:00,27426.46,0.03,0.87208,none,0.0,356.7561,0.0886820942546468,2788.992
