date,close,btc_weight,fng,warchest,slices_remaining,action,trade_usd,deployed_usd,cash_after,btc_after,value_after
2022-09-06 00:00:00+00:00,18790.61,1.0,22,608.3018,3,trim+warchest_buy,154.5386,202.7673,0.0,0.04032598119693756,1366.0516072014552
2022-09-13 00:00:00+00:00,20173.57,1.0,34,673.3183,0,trim,-65.0164,0.0,0.0,0.03709990270118256,1421.7557446372123
2022-09-20 00:00:00+00:00,18875.0,1.0,23,546.9623,3,trim+warchest_buy,126.3559,182.3208,0.0,0.04378162981799784,1373.340582360277
2022-09-27 00:00:00+00:00,19079.13,1.0,20,431.4,2,trim+warchest_buy,115.5624,182.3208,0.0,0.049825575210472095,1382.0285804492903
2022-10-04 00:00:00+00:00,20337.82,1.0,20,334.0576,1,deploy+trim+warchest_buy,147.3424,182.3208,0.0,0.057054716092164955,1494.4261494513753
2022-10-11 00:00:00+00:00,19060.0,1.0,24,238.6469,0,trim+warchest_buy,95.4107,182.3208,0.0,0.06204639611899292,1421.251174330206
2022-10-18 00:00:00+00:00,19327.44,1.0,22,250.8651,3,trim+warchest_buy,-12.2182,83.6217,0.0,0.06140493664640588,1437.6653049763331
2022-10-25 00:00:00+00:00,20080.07,1.0,20,265.786,2,trim+warchest_buy,-14.9209,83.6217,0.0,0.06065278968134033,1483.6982395183416
2022-11-01 00:00:00+00:00,20483.62,1.0,30,369.0697,0,deploy+trim,-53.2837,0.0,0.0,0.05804401761557268,1558.0212856985847
2022-11-08 00:00:00+00:00,18547.23,1.0,31,455.108,0,trim,-86.0383,0.0,0.0,0.053400496206326864,1445.5393059683788
2022-11-15 00:00:00+00:00,16900.57,1.0,22,395.4268,3,trim+warchest_buy,59.6812,131.8089,0.0,0.05691973945199976,1357.402836047649
2022-11-22 00:00:00+00:00,16226.94,1.0,22,337.4346,2,trim+warchest_buy,57.9922,131.8089,0.0,0.0604808832660426,1318.8542923731607
2022-11-29 00:00:00+00:00,16442.53,1.0,26,420.9038,0,deploy+trim,-33.4691,0.0,0.0,0.05843723797530739,1381.7598132974845
2022-12-06 00:00:00+00:00,17088.96,1.0,25,375.5358,3,trim+warchest_buy,45.368,125.1786,0.0,0.0610800491891353,1419.3303279085749
2022-12-13 00:00:00+00:00,17774.7,1.0,27,462.3033,0,trim,-86.7675,0.0,0.0,0.056193645254004485,1461.1285064755068
2022-12-20 00:00:00+00:00,16895.56,1.0,29,538.1812,0,trim,-75.8779,0.0,0.0,0.05169815363368413,1411.6504713385007
2022-12-27 00:00:00+00:00,16706.36,1.0,27,607.2072,0,trim,-69.0259,0.0,0.0,0.0475623013429894,1401.8000856337326
2023-01-03 00:00:00+00:00,16675.18,1.0,26,674.5845,0,deploy+trim,-17.3774,0.0,0.0,0.04651314955640076,1450.1996482829695
2023-01-10 00:00:00+00:00,17440.66,1.0,26,739.4172,0,trim,-64.8327,0.0,0.0,0.042792097591888706,1485.7396364032477
2023-01-17 00:00:00+00:00,21134.81,1.0,51,811.6971,0,trim,-72.2799,0.0,0.0,0.03936872978453761,1643.7477114941548
2023-01-24 00:00:00+00:00,22632.89,1.0,52,882.9081,0,trim,-71.211,0.0,0.0,0.0362192314017746,1702.6539359593226
2023-01-31 00:00:00+00:00,23125.13,1.0,51,953.839,0,deploy+trim,-20.931,0.0,0.0,0.035308881718408944,1770.3614884697588
2023-02-07 00:00:00+00:00,23240.46,1.0,54,1019.4209,0,trim,-65.5819,0.0,0.0,0.03248417118093623,1774.368014226085
2023-02-14 00:00:00+00:00,22199.84,1.0,50,1077.0547,0,trim,-57.6338,0.0,0.0,0.029885437486461334,1740.5066445395596
2023-02-21 00:00:00+00:00,24452.16,1.0,60,1135.4573,0,trim,-58.4026,0.0,0.0,0.02749460248754443,1807.759752019139
2023-02-28 00:00:00+00:00,23141.57,1.0,53,1190.2999,0,deploy+trim,-4.8426,0.0,0.0,0.027280811398736945,1821.620703483541
2023-03-07 00:00:00+00:00,22197.96,1.0,49,1238.6977,0,trim,-48.3978,0.0,0.0,0.02509834648683799,1795.829810770763
2023-03-14 00:00:00+00:00,24670.41,1.0,56,1288.1831,0,trim,-49.4854,0.0,0.0,0.02309047876789095,1857.8346826222935
2023-03-21 00:00:00+00:00,28105.47,1.0,68,1340.0487,0,trim,-51.8656,0.0,0.0,0.021243240466459676,1937.099945118061
2023-03-28 00:00:00+00:00,27261.07,1.0,59,1386.3314,0,trim,-46.2827,0.0,0.0,0.0195437812291429,1919.115823790952
2023-04-04 00:00:00+00:00,28165.47,1.0,62,1434.3162,0,deploy+trim,2.0153,0.0,0.0,0.019611851007077404,1986.6931867518772
2023-04-11 00:00:00+00:00,30200.42,1.0,68,1481.6517,0,trim,-47.3355,0.0,0.0,0.01804290292651121,2026.5549400677378
2023-04-18 00:00:00+00:00,30380.01,1.0,58,1525.4593,0,trim,-43.8076,0.0,0.0,0.016599470692390313,2029.751413518603
2023-04-25 00:00:00+00:00,28300.79,1.0,53,1563.004,0,trim,-37.5447,0.0,0.0,0.01527151303699909,1995.1998798148372
2023-05-02 00:00:00+00:00,28669.86,1.0,55,1601.9875,0,deploy+trim,11.0165,0.0,0.0,0.015652659953631572,2050.7471145601417
2023-05-09 00:00:00+00:00,27628.27,1.0,51,1636.5494,0,trim,-34.5619,0.0,0.0,0.014400447157341048,2034.4088640058053
2023-05-16 00:00:00+00:00,27033.84,1.0,54,1667.6622,0,trim,-31.1128,0.0,0.0,0.013248411384753765,2025.8176622513167
2023-05-23 00:00:00+00:00,27219.61,1.0,50,1696.4827,0,trim,-28.8205,0.0,0.0,0.012188538473973463,2028.2499703069816
2023-05-30 00:00:00+00:00,27694.4,1.0,51,1727.452,0,deploy+trim,19.0307,0.0,0.0,0.01287278002486141,2083.9559661482463
2023-06-06 00:00:00+00:00,27230.08,1.0,44,1755.4662,0,trim,-28.0141,0.0,0.0,0.011842957622872496,2077.9508347807105
2023-06-13 00:00:00+00:00,25934.25,1.0,45,1780.0126,0,trim,-24.5465,0.0,0.0,0.010895521013042697,2062.5798039463652
2023-06-20 00:00:00+00:00,28307.99,1.0,49,1804.6624,0,trim,-24.6497,0.0,0.0,0.010023879331999282,2088.418263571875
2023-06-27 00:00:00+00:00,30692.44,1.0,59,1829.2504,0,trim,-24.588,0.0,0.0,0.00922196898543934,2112.2950900598635
2023-07-04 00:00:00+00:00,30766.51,1.0,64,1855.9179,0,deploy+trim,23.3325,0.0,0.0,0.009977848541462537,2162.901467078534
2023-07-11 00:00:00+00:00,30622.1,1.0,57,1880.3369,0,trim,-24.419,0.0,0.0,0.009179620658145534,2161.4361225565954
2023-07-18 00:00:00+00:00,29859.13,1.0,56,1902.2426,0,trim,-21.9057,0.0,0.0,0.008445251005493891,2154.410419744124
2023-07-25 00:00:00+00:00,29228.91,1.0,50,1921.9705,0,trim,-19.7279,0.0,0.0,0.007769630925054379,2149.068306016916
2023-08-01 00:00:00+00:00,29705.99,1.0,53,1944.4084,0,deploy+trim,27.5621,0.0,0.0,0.008695021181865598,2202.702581172356
2023-08-08 00:00:00+00:00,29770.42,1.0,54,1965.096,0,trim,-20.6876,0.0,0.0,0.007999419487316351,2203.242093032504
2023-08-15 00:00:00+00:00,29200.0,1.0,53,1983.764,0,trim,-18.668,0.0,0.0,0.007359465928331044,2198.6603775246267
